Reply,Code,Post
"Did you took your drug already, you are a EMBARRESTMENT TO ALL PUERTORICANS THAT WORK HARD TO BRING UP OUR CHILDRENS INTO THE AMERICAN DREAM AND YOU AND YOUR CRIMINALS  REMOCRAT FELLOWS BELIEVE THAT YA CAN CONTINUE LYING TO AMERICA STEALING OUR TAXES, YA ALMOST DESTROYED OUR COUNTRY DONT U SEE U DRUG ADDICT JUST LIKE EVERY 9 PUERTORICAN OUT OF 10 ABOCHORNATE CANTO E LOCA!",,
I do yours in Minnie Mouse; Even though that cartoon character was your intellectual superior by miles.,3f,
Dwight is a patriot,0,
"Okay, donkey…",3g,
Super. Now what about the content?,1,
I do yours in Mister Ed voice.,1,
The wall clocked your dumb ass harder than this limp-dick take ever could. #tortatime,3f,
Dwight turned out to be the most logical and based character on the show. Checks out.,0,
"🤣🤣😉
Birthright citizenship needs to go. Only benefits illegals.",0,
"As a Conservative, do you know what I love about you, AOC?

That you're never this quick-witted or good at comebacks whenever you do interviews or Town Halls. 

Social media is definitely not real life in your case.",1,
Just imagine it in his voice. He's got an awesome voice.,0,
"I read yours in an 
@aoc
 voice. Even worse.",1,
"Who are you kidding?

You can’t read…..",3f,
You sound silly!  Is it the Ketamine?,1,
You’re using campaign funds for ketamine,1,
Can’t help but realize you are a hateful excuse for a human being,1,
Are you high on Ketamine again? Maybe that’s why you’re hearing voices.,1,
You should debate him. You’re way smarter than him and it would totally go well for you!,0,
Is that from the Ketamine ?,1,
"I hear him in a Patriots voice.
You must on some kind of drug.
What could it be?",1,
And yet he is right.,0,
Filthy communist doesn’t care about inheritance because the invaders taking what they didn’t build or earn is part of their class struggle,1,
That’s fine. But you should also take in the substance because he is 100% correct. Why do you not care about American sovereignty? Do you hate us THAT MUCH?,0,
"Depth of your argument is sadly expected. 

What is it like to disappoint constituents daily at three times their median salary?",1,
Is that a side effect of the Ketamine?,1,
He's right AOC you're the proof of it!,1,
It’s funny. I always picture your words coming out of a 10 year old who doesn’t understand economics,3e,
"He’s not wrong though, I thought you socialists cared about the working class citizens?

Social programs cripple a country when non-citizens have access to taxpayer dollars. 

…. even your mentor Bernie knew that.",0,
You are a brown bioweapon,1,
I'm glad you can read ABC,3a,
I read yours in Valley Girl voice,1,
ok horseface,3g,
Shut up cankles,,
You've been getting fatter recently. Care to comment?,3g,
I read yours in Dora the explorer of she were dumb.,3f,
Can't help but read your tweets in the retarded cunt voice.,3f,
"Why do you have such an appetite for immigrants entering our country?

Especially considering how their arrival has increased costs of everything for everyone",1,
"Meanwhile - he’s right. Address what he said, or shut the fuck up.",1,
Dwight Schrute is 10x the American you could ever be,1,
Care to respond to his actual point?  Nah?,1,
Are you drunk tweeting again?,3b,
You aren’t fooling anyone with this whole “can’t help but read” bit,1,
Can’t help but read all of yours in the Selena Meyer voice,,
"Says the woman who struggles with basic economics, misstates facts on history & policy and resorts to insults & voice changes when challenged. The voice we hear when reading all her tweets is often referred to the du*b*st person in government. Proven in Munich.",3e,
Can’t help seeing a rabid horse when I see you,3g,
Like you can read.,3f,
What an odd way to say you sound out words while you read.,1,
Is this funny to you? Many American’s died early or live shitty elderly lives to give their kid’s something. (The Office was never funny) Get fucked.,1,
The most intelligent and thoughtful character in the show? I don't think this was the roast you thought it was chief,0,
Everybody look! The fat girl with the horse face made a funny!,3g,
Probably in your ketadreams.  Freak.,1,
"AOC, honey, people loved the movie Office space and they loved Dwight! So what the fuck are you trying to illustrate? Are you really that stupid? I think you are! Maybe go back to the LEARING center and find out where your degree is",3e,
"And everytime  you post anything. 

It always comes out stupid.",3e,
That would be fun while you tend bar!,3b,
"Can’t help but read all your posts (no lame ‘tweets’ since the amazing 
@elonmusk
) in a valley girl voice",,
I can't help but read your tweets in the kamala Harris voice. Cackling included.,1,
Ketamine? Are you suffering too? Humiliation on the world stage will do that. 😞,1,
That was a good one. I don’t agree with your politics but this was a good one.,0,
Too many people take advantage of the American dream too many of the people you want in our country wanna live without the government they do not belong in America which part don’t you understand what birthright citizenship means it was for slave children not for Third World illegal aliens,1,
Can't hear you over your husband's snoring.,99,
Okay chapati tits,3g,
"You are a big part of the problem women, women, women you’re too emotional to be in power",2c,
"Meanwhile, Elise Stefanik hasn't held a town hall in 6 years.",0,https://x.com/AOC/status/2031042625709527248
"AOC, are you running for the WH in 2028?",0,
How about you speak up on the two Jihadi Muslim Terrorists that tried to kill innocent and random people on a street in NYC?,1,
"Thank you for all you do AOC🙏
",0,
"Afraid to go into your District Missy? Thought you represent Bronx, Queens which have turned into *trash* because of your neglect.",3,
People are on the streets throwing bombs. I'm glad you had a beautiful day......retard.,3,
"By farm workers you meant illegals you are harboring , right?",1,
But you can’t find TSA and Homeland Security? Enjoy your apple.,1,
working people coming together is when politicians need photo ops,1,
AOC will sell working people out for power every single time.,1,
Why did you vote to hide the sexual misconduct of your co workers?,1,
"You represent queens and the Bronx, lost again?",3,
AOCIA hanging out with shady military intelligence people,1,
The squad needs to be dismantled and crushed like the tyrants they are.,99,
"APPLES??  they wanted rice and bananas 
https://facebook.com/share/r/18Fi6ZpRGY/",0,
Then Muslim terrorists tried to kill us,1,
"Yeah, take the taxes from the workers, picking apples and give illegals free money.They don't have to work for",1,
That must have been an exhausting day of stunning accomplishments 🙄,3,
"Yeah, I just think how many people you could’ve put to work in the Amazon fulfillment center. What an idiot.",3,
Go back to bartending you twit.,3,
you Couldn't Share Anything about New York you Don't Live there Anymore and your A F_cking Moron.,3,
Would you ever collab with Nick Fuentes?,0,
You are no longer the party of the working class. You are the party of the “non-working” paid for by the working class!,0,
"Hey AOC, how many illegals voted for you on your last election? I think you should be audited.",1,
"No bombs thrown today? 

That’s good",1,
Why do you care about migrants more than Americans?,1,
Seeing Bronx farmhands and upstate town halls in the same day underscores how our food system and local politics are already intertwined—policy can start at the orchard and end in the council chamber.,0,
"@grok
 What issues are produce workers and local communities in New York most concerned about right now? 🍎👷",0,
Just shut up and go away. #DEMOCRAPS,1,
that's the typical day of a bronx-queens congresswoman? ugh,3,
So springtime is apple season in New York. OK.,0,
You’re a pedophile lover get out a here,1,
You are completely irrelevant at this point. Keep up the good work.,1,
Ameriphobic,1,
Tas bien,0,
Dont call yourself a working person. You're getting rich off the real workers the tax payers.,1,
More Comrade aoc TOTAL LIBERAL BULLSH!T!!!!!!!,1,
What have you done to reverse your support of protecting sexual predators in congress?,1,
"you are joke,are you even real human,you act like a clone",1,
Please run for President ❤️,0,
"Always full of promises, but no solutions.",0,
"When did Glens Falls become part of your district?
How much time do you spend in your district?
When was your last Town Hall in your district?
Future date for a town hall in your district is?
Do you know the lyrics to Bob Dylan's tune, 
You Ain't Going Nowhere?",1,
ALL EYES ON RAFA!!!,0,
"Why don't you go to the poorer areas where you can see what your policy is doing? O, look how great we are in this rich neighborhood",0,
Not a single comment about what happened in NYC yesterday?,0,
Pat Ryan is a UC fan? Cool! Hey Alex can you post a video of you jumping up and down?,99,
"These people are in outer space. 

They want zombies who ignore what is
going on in the world so you don't notice the Democtas complicity in it.",1,
Who cares especially nobody is paying attention of you we got bigger fish to fry and meanwhile you can’t even act your age or you have a IQ keep playing silly donkey,3,
AOC supports the terror attack in NY last weekend.,1,
We don’t like you,1,
Was that before or after the Islamic Jihadist attack in NYC?,1,
"2 politicians equal working people? fuck me running. I don't have months of vacation, multi rich from secret sources, lifetime pension, and hundreds of staffers working for me. how about a ham sammich, sweetheart?",3,
Wow. You are so phoney.,3,
So he's like your boyfriend now? What a slut.,2,
Which animal are you ?,3,
You should've went down and joined the terr0rists,1,
Good thing you avoided Muslims throwing bombs.   New York is turning into a wonderful place.,1,
Did you serve them drinks?  You know… the only thing you are qualified to do.,3,
Translation: BEND OVER,3,
Not a peep out of you attention whores about the Iranian female soccer players who will probably face persecution when they go back home from Australia 🖕,2,
AOC always a joke,1,
Funny,1,
While Muslims throw bombs at crowds of Americans and nypd. Muslims will muslim.,1,
"Ok, barkeep",3,
"Is this your district, you represent these folks? Or were you looking for some softball prepared questions to answer while you bask in the adoration you apparently thrive on? People are catching on to your grift.",3,
Any word on islamists throwing bombs in NYC?  Of course not!,1,
"you don’t talk about the prostitution deals being done on every corner in the Bronx you don’t talk about the prostitutes hanging out on every corner, making deals with John’s spreading their disease everywhere do you? You don’t talk about the drugs & the homeless people either",1,
"Schmoooozing & naaaying & sneeeezing & wheeeeezing & whoooozing. 
As usual.",3,
The power of the working people can conquer anything! 💪,0,
What does working people have to do with you?,0,
You said it. Middle class has to suffer harder this shut down so they hate Trump. TSA not getting paid most who live in your district during a war with Iran. Great job you POS.,1,
Mmm you should reach out to Thomas Massie about releasing more Epstein files and coauthoring legislation to force the CIA and State Dept to drop their documents too.,1,
"Hey, please run for president. I know you may not be ready, and I get it. I do. But you are exactly who we need in the White House right now. You are the only clean presidential candidate according to Track AIPAC, and you’ll be bold enough to clean up our Supreme Court, give us better healthcare, tax the wealthy what they deserve, and stop funding weapons for Israel. 

The only way to stop more Trumps is by making peoples’ lives significantly better. You’re the only one bold enough to get it done. We need you! Please run. Give us a chance and we will all rally and campaign for you like our lives depend on it. 

Give us maternity leave, give us a public option for healthcare or Medicare for all. Clean up our air and water! Fight climate change. You are the hero we need",0,
Sandy is not very bright folks,99,
"Welcome to Kingston, happy to have you.",0,
You are clueless.  Shut up,3,
A beautiful day as terrorist are throwing bombs in your city. You pathetic socialist.,1,
YEAHHHH AFFORDABLE HOUSINGGGGGG HIGHER QUALITY OF LIFE,0,
so what.  please pass a voter ID law.  And make me a Margarita.  Thanks,3,
HOW ABOUT ADDRESSING THE CORRUPTION HAPPENING IN THE WORKERS COMPENSATION SYSTEM IN NEW YORK??????? CAN AMERICAN CITIZENS GET HELP ALSO???,1,
Nobody cares you horsetooth jackass,3,
apples ??  you made AMAZON duck out .. you dumb  twat,2,
Crime up 50% in ur constituency,1,
Did you dodge any IED’s tossed around by Islamic terrorist?,1,
You’re an 8. Small/Curly,3,
WITH SECURITY OF COURSE-SOOO BEAUTIFUL,99,
"Wow what is this,an elementary school campaign?",1,
So no bomb throwing Muslim on your path? How nice for you.,1,
Your an idiot Alexandria!,3,
Nokia2780,0,
"@AOC
 WHY can’t you start articles of impeachment?!  What are y’all doing other than checks and balances on Trump???",0,
👍👍,0,
"The world burns, a maniac is in power, and you're looking at apples and talking. Why is it that no one in your country can stop the madman? The world is watching. We've gone from laughter to anger as your House does nothing. Talk doesn't stop dictators; actions do. Do something.",0,
the donkey has spoken.,3,
What a load of BS - you’re a partisan pig - STFU and fund DHS before more Americans die at the hands of your terrorist friends!,1,
It’s all about the photo op!,99,
Tas bien fea Alexandria,3,
"No muslims threw bombs at you, did they?",1,
Two losers with big mouths,1,
Looks like an Islamic supremacy stunt.,1,
"Looks like a day full of energy and connection! 🍏 From the Bronx to Kingston and Glens Falls, it really shows the power of working people coming together. Inspiring to see local communities and workers highlighted like this!",0,
face card tea asf!,0,https://x.com/iamcardib/status/2041161974067675256
You so fine bardi 😍,0,
"Face card 😍
",0,
Cute Cardi ❤️,0,
I’m Pretty and I’m petty AF 😘😘,0,
Ms. Almanzar if ya nasty.,0,
What's your rate and Cashapp tag?,0,
My Queen!!!!!!!!,0,
Cardiiii offset good now?,0,
So so beautiful 😍,0,
You look so good makes me forget about all the other shit,0,
A gorgeous hun,0,
Queen,0,
"Photo Shoot Time 

The Walking Billboard 

@JaeMetaX",0,
🥹,0,
💞,0,
Looking good,0,
the wife ✨,0,
So beautiful 😍😍😍,0,
￼😍😍😍,0,
Remove the head and you would go from a 2 to a 7,3g,
"Belcalis (Cardi B) is proof that staying real, confident, and unapologetically yourself is the reall powerr 🖤🔥",0,
Boobs so clean 🫧,,
These bitches copy my flow but can’t copy my glow✨,0,
what a WOMAN. we love you so bad mama !! 🖤🖤,0,
"What. A. Loser. 😂😂😂 Ass falling off the bone from a bad BBL, having a kid with a dude that didn’t want her. You are a disgrace and you need to close your legs.",2b,
fineeee shittt🥵😍,0,
Beautiful 😍,0,
Why so fine Cardi. Why why,0,
Mother 😍,0,
Is that your name,0,
YOU ARE SO BEAUTIFUL,0,
Doll 😍,0,
On my knees ma’am😩,0,
"Is she even that fine 
The hype wey una Dey give her for this app eeh 
She is cosmetic beauty not natural.",3g,
You shouldn't have let this picture out here 😔,0,
"Hey 
@grok
 find my picture on profile and put me next to cardiii",0,
Sexy lady,0,
A gorgeous  queen both within and without 💖,0,
Queen energy always 👑🔥,0,
i will pass,1,
Queen ❤️❤️,0,
"You look so beautiful 

What’s the secret?",0,
You look adorable. Have you paid your ex husband 50% of your net worth yet? Time is running Queen.,99,
very MAYHEM 🖤,0,
Have you been eating healthy? 🤧,99,
Queen of America,0,
You look more pretty when you don't use make up Cardi. Text me,1,
Oooooof 😮‍💨🔥,0,
"glamorous, voluminous black hair, wearing a fitted black outfit with a deep neckline. The lighting is soft and dramatic against a dark backdrop, giving it a polished, high fashion look. Her makeup is bold defined eyes, sculpted brows, and a glossy nude lip. Very red carpet aesthetic. Cardi B always different😍",0,
Picture of the day,0,
mugcalis 😍😍,0,
😍😍😍😍😍,0,
She fell off,1,
"The ultimate HOE trash. 

You could probably say an INCREDIBLE role model for young Americans too, right?……..🤡🤡🤡

Nothing but ghetto fcking TRASH.",2a,
❤️😳the most beautiful thing my eyes can see,0,
Is that your new album name? Selftitled,0,
Ohhh Cardi😋🤏🏾,0,
The queen looks good ❤️,0,
Oh my days 😍😍😍😍😍😍🔥,0,
The ONLY bitch i love 😩😩😩🔥🔥🔥🔥🔥,0,
Queen looks absolutely stunning as always!,0,
Really nice look,0,
Living example of Love is Blind,,
You look goooood baby,0,
❤️,0,
Pretty and pretty 🤩,0,
Barbie dull ❤️,0,
Why this look AI how your arms get so thin,3e,
"The queen, Royal highness 😍",0,
Hello 👋,0,
Fine shit,0,
"You’re so pretty 🥰🤩
Forever young",0,
Cardib looking beautiful as ever,0,
How beautiful the domi is 🇩🇴❤️,0,
Craaaaawayyyyyy,99,
Bodega Baddie🩵,0,
Is this real??,,
Hello Cardi🥰,0,
Cardi baby😍,0,
👁️want you 🫵🏾🥰,,
i get why offset wants her back,0,
Bardi B,0,
Ugh I love her 🖤,0,
You should have said I should wear you this dress 👗,0,
"@grok
 change her dress to a purple Short gown",0,
Beautiful,0,
Looking stunning 😍,0,
That's your name sweetie?,3c,
Cardi B is fine but classless.,3d,
Always looking young,0,
The most beautiful woman celebrity,0,
Card b 🫡❤️,0,
Queen Cardi,0,
That face card is lethal. You always serve when you go for the clean glam.,0,
"I knew it wasn’t Cardi B, had to be Belcalis",0,
Now this is clean,0,
Taken off the bbl yet?,,
"we will drag these people later, do you big one tonight babe! You worked too hard to let these people ruin your night ❤️ we love you",0,https://x.com/iamcardib/status/2045655033719468089
You called a child slow... That's how you want to be treated btch. Don't worry your Karma will be so loud and I will be say for it,2a,
"CARDI ATE AND LEFT NO CRUMBS 🔥 this power & respect wisdom is MOGGING every fake celeb rant frfr!! Aura maxed tf out, BARDI GANG locked in & ready for Atlanta rn no cap — 2026 finna be the cultural reset we NEEDED, mother is MOTHERING with the real talk on a whole new level 🥹💖 W of the century Cardi!!",0,
Nicki Minaj could never call the shots like this oh cardi ur really that girl,0,
"🤎🤎🤎 Turn it tf up tonight 😘 congratulations 🎈🎊🍾🎉 you did it, I’m so glad i got to see you hit the stage 🙃👏🏾 LOVE YOU CARDI ! KEEP BEING A BOSS ASS BIHHHH💯",0,
"I love this, Cardi B I just saw you in concert. I have to applaud you on your performance. Amazing in concert!",0,
"See this btch... The be getting in ya head. Just soon enough your real colours will be out in the open, keep cosplaying for them mfs
",2a,
Girl we all know because the last show didn’t sell out that’s why u not performing,,
Who wrote this? 🤣🤣🤣 We know it wasn’t you!,3b ,
The devil is busy tonight! Keep your head on a swivel queen! Don’t let the devil win!,0,
"Cardi B is always crying about respect while she disrespects everyone—especially law enforcement and this country. Sad! Maybe the arena staff was just tired of the drama. Get over it and focus on your show, Cardi. MAGA!",3d,
You never truly know a person until they're in a position of power and authority,0,
"They knew to apologize & did it REAL QUICK, don’t play with the brim .",99,
"That sounds noble and all, but everything you just said, you do the exact opposite. It’s not about speaking wisdom; it’s about living it.",1,
"Preach kindness when you have power? The same Cardi who throws mics at fans, curses out her own crew on stage, and lets her team rough up people for autographs? Practice what you preach
",1,
YES MOTHER DONT LET THEM FUCK UP YOUR MOMENTUM,0,
you want respect so bad but you called a 5 year old a pedophile non verbal spread lies daily aren’t you tired? bitch stfu nobody takes you seriously you are a joke!!! ijbol demanding respect bitch please,2a,
But you disrespects everyone? Why you always playing victim?,1,
"Sweetie, you might be pretending in front of the world, but we see u, we peep u as u are trying hard to bring another human down so bad & has terribly failed though, u here preaching morals, masking ur real u, fooling dumbass people like u, I won’t say anything further…………….",3b,
"Most of the time those people don’t know the real meaning of being in a position of power and authority or they are just not kind, being in power and authority will not change that, it will in fact amplify it.",0,
Real talk. Power means nothing if you lose people’s respect. Atlanta’s gonna feel this energy.🫡🫡,0,
If it’s was Nicki they will call her all types of name now it’s cardi you guys are praising her . Hypocrite,1,
"Send TNHT a cease and desist, they need you more than you ever needed them. Any tour content that they posted, mfs can spend a narrative with it. But not once did they post any artist that you brought out, giving them their flowers and moment. Fck them and send those papers.",0,
"Sorry y’all

I feel like Trump needs to hear this too",0,
"Treat others like you demand to be treated? Bullshit. This is just a power-tripping narcissist pretending to be wise. Nobody’s buying your fake humility, especially not after that passive-aggressive threat. Stay mad",1,
Never afraid to speak facts we love u u a real one,0,
Rightly said. Most people think they gon be in that power and position forever.,0,
Kill them with kindness Cardi B. I’m sorry for my viral comment about u pinned on my X account.  I didn’t mean to throw u under the bus. I know deep down you’re a good human being. Much love 🫶,0,
"This how did not write this. She can't spell or read, and I doubt she really understands what any of this means.",3f,
Not letting them stop shit! Get it right Venue and get your people right!,0,
"Power should always come with kindness, never arrogance.  
Atlanta better treat you right tonight, Queen we got your back! 🔥",0,
"Whoever disrespected Cardi ,has to deal with Bardigang 😤😤,",0,
Girl stfu and be direct atp. You not ANY better. Dweeb all that sneaking and snaking gone have you worse off. 💋-LEX,2c,
"Cardi dropping wisdom like she ain’t the same queen who once said ‘I like it like that’ while throwing shoes at her own sister 😂 Power with kindness? Ma’am, your Atlanta show tickets already sold out faster than my data bundle during a gossip session. We hear you tho, be nice or the hood will drag you in 4K 🥴",1,
Ok but you started your live just to do show that. Just make you unprofessional handle it like an adult. Everything is not for the gram. You are not a teenager now. You are 33.,1,
Sis turned to a motivational speaker now. Funny 😂😂😂😂,0,
Ken Barbie her social media manger wrote this!!!! Not this stripper bitch,2a,
U are the least person to say that out loud!!!! Please keep it quiet !!! So loud and messy!!!,1,
Yo ass did KNOT write this I’m ctfu😭😭💀,3b,
"Use power responsibly, lead with respect, but don’t confuse kindness with weakness. The goal isn’t just to be liked, it’s to be fair, consistent, and effective.",0,
Aht Aht. That ain’t nothing but the Devil. And we don’t let the Devil win around here. You been on cloud 9 this whole tour. You been getting so much love. Don’t let nobody take this moment away from you. Go out with a bang. You got this Cardi.,0,
Preaching queen energy on full display Cardi don't play,0,
"Power corrupts, absolute power corrupts absolutely.

Don’t let it get to you",0,
"Who wrote this, this time because bitch we know your illiterate ass didn’t 😂😂😂😂",3b,
"Girl If you don’t hurry up
Do you know how much effort it takes to drive an ATL for us to all get here on time? We’ve literally been here since 730 and you’re still not on stage this is unacceptable.",,
Girl what happened??? Do we need to jump some bitches?,0,
"""Upon this a question arises: whether it be better to be loved than feared or feared than loved? One should wish to be both, but, because it is difficult to unite them in one person, it is much safer to be feared than loved...”",0,
Just look at what happened to Ellen DeGeneres when she abuses her power. Just look at P Diddy... Money and power change people into monsters if they forget kindness and respect.,0,
Idk how she try to preach but was fucking Niggas To get “get back”,1,
I’m outside I just need to know the person or show me a face … something !!!,0,
Who’s this shade for Cardi? Your baby daddy or the president?,1,
"Atlanta said they standing on business about pussy ass 
@Latto
 😂",1,
U talking about kindness and respect 🤣🤣🤣 barney B r u even serious typing this😂😂😂,1,
Sending virtual hugs! We are so damn proud of you! End tonight with a bang! - Auntie Shika ❤️👠,0,
"Power doesn’t prove who you are , how you treat people when you have it does. Respect isn’t demanded from authority, it’s earned through restraint.",0,
This is the lesson I'm trying to teach my first baby when relating with her little sister. Don't cheat her because she can not talk yet😭,0,
"You did the right thing standing up for your crew in your team. Savannah convention center isn’t any better? They were so rude to kids that were doing dance competitions when they pay a lot of money to put those on and they pay that staff. So with as much money as you pay them and using that arena, you have every right to be upset.",0,
"Stop posting shit that someone else wrote for you. You did exactly what this post said you shouldn’t do, plus more. So now that the Outta Spite Tour is over, you can take your dumb ass back to school to re-enter second grade.",3b,
So you demand to be drugged and robbed? Thrown shoes at? Hired men to beat you up? Okay got it. Bum.,2d,
"This is gonna go over so many people’s heads because it’s literally filled with air. Receive the message, fck who the messenger is!",0,
Hurry up girl. We been here for an hour waiting for you boo,0,
"People really wanted to screenshot this tweet and use it as a motivation. But that ""Atalanta.... I'll see you soon"". Couldn't make them.😢",0,
A person's silence can become a absence of themselves and removal of you in their life,0,
"Last show babe, you got this...the devil been a lie",0,
That’s why you should’ve made your hometown NYC your best and last shows instead of Atlanta!!!!,0,
You absolutely correct motha do onto others what you want done onto you. Know matter your status.. now let’s go out with a BANG! ‼️,0,
This joker too chuk mouth for Nigeria matter that time...yeyebrity🤣🤣🤣,1,
Did you like rob and drug Rich men? Cardi has zero room to talk on this subject🤣🤣,1,
You mean like how you did Tasha K? Maybe you should talk to the (wo)man in the mirror. 🪞,1,
So basically we not getting a concert,0,
cardi you are a true professional ❤️ have an amazing last show,0,
💯 and you’re doing so amazing!! Give it all you got for your last show tonight!! Love you. 💕🥰,0,
"You are very sensible unlike 
@NICKIMINAJ
 
God bless you more",0,
You have treated people like shit. I will will not endure this in silence,1,
Funny how everyone talks “kindness with power” until they actually get the power… then the tone changes real quick. 👀,0,
Like throwing the mic from the stage at a fan ? Like that kinda power? Lol,1,
Kindness and respect? Never abuse it? Didn’t you have MEN throw bottles at strippers because they were sleeping with Offset. Even though you were a stripper yourself. Where was this logic then? Girl you are in no position to be telling anyone anything. Smh!,1,
Power and authority over who?😆,1,
"The fact that this dumb bitches fans actually think she said something of importance should tell you why they were determined to have the lowest IQ 🤣🤣🤣🤣 fuck 
@iamcardib",2a,
i love you can’t wait to see you,0,
"ending this tour with a bang, iktr. 💥❤️",0,
exactly hunnie :),0,
The Queen has spoken !,0,
"That’s terrible. 

You’ll be doing stadiums soon anyway.",0,
Power only means something when it’s handled with restraint. Respect goes further than authority ever will—and arrogance usually meets its match eventually. Safe travels to Atlanta.,0,
Rest cardi,0,
Would 50k be enough for me to take a picture with the book signed by president Carter? As a historian that moment was priceless when Amy gifted you that piece of treasure.,0,
"This explains sensitive humanity fr, be kind when it matters fr no matter your stand",0,
"It seems like you have a trip or an important project on the horizon in Atlanta. With that mindset of respect and reciprocity, you're sure to leave a positive mark there.",0,
Nicki Minaj is better rapper than you,1,
"Girl, we don’t care get your fat ass on stage!",3a,
"Learn to manage stress, because a calm mind makes better decisions in difficult situations.",0,
"Another ""tough guy"" monologue that will probably end in a boring PR statement.",1,
Stfu ugly roach,3g,
"Real talk
Don’t let power and position control you",0,
They better stop playing with the mf Brimcess. We don’t play that!!,0,
"That is what makes real power stand out, not how loud it is, but how well it is carried. 
Respect lasts longer than intimidation ever will.",0,
Not the mother of monkeys and roaches talking about kindness and respect gguess who is a pussy ass?,,
"We ❤️ 
@NICKIMINAJ",0,
"Power shows its true value when it’s guided by humility. Respect isn’t demanded it’s earned through how you treat people when you have the upper hand. The energy you give is the legacy you leave. Atlanta, I’m on the way.",0,
what about the uk tho sis,0,
Ooooo get her!,0,
somebody must’ve done those tats in the prison yard,0,https://x.com/theestallion/status/2045227312589770759
Pls never get that many tattoos ,3,
girl you need me or sum?,0,
"no but i saw a clip & i’m on my way! 🏃🏾‍♀️🏃🏾‍♀️",0,
"You got all the women thirsting😂😂 and rightfully so😍😍 you were so good in the movie, Louise and Devon need a spinoff",0,
Girl stop editing your pics you don’t look like this fr😭,3,
as soon as it was available i was watching 😍,0,
Look like you finna shoot another man in the foot,1,
I didn’t know it was out! FLYYYYING TO NETFLIX NOW!!! #LoveuMeg,0,
No we’re busy streaming Beauty and A Beat,1,
I guessed that it must be soft porn so I am still resisting,0,
I haven't watched it yet but I sure will,0,
Studgan ok I will re-up my netflix for you,0,
Yes! Lol,0,
face card neva declines,0,
LOOKIN SO ALT W THEM TATTTTTTS GIIIIRL 🥰😍,0,
Megan Thee Stud?!?,0,
of course! wasn’t even planning to watch until i found out u were in it sista,0,
"I’ve not, is the movie really interesting",0,
sure did loved seeing you in it!,0,
As soon as I get off work ? Got to watch my girl 🔥,0,
"Yes, Louise!! I stayed up late and watched it... I loved it, it was such a fun/funny movie!! I was yelling a few times at the screen telling Devon to whoop Celeste's ass lol",0,
"um, YES. now tell us how you snuck that gloss in 🤭",0,
nobody wants to watch that zionist nepo-baby slop,1,
adam sandler a zionist so no! but i’ll 🏴‍☠️just for you 💋,0,
looking more manlier than ever ,2,
I just started it! I love the knuckle tat,0,
"Megan why are you spoiling your beautiful skin with tattoos even on your neck too? 
It’s doesn’t make you look good",3,
Watching now girl,0,
You finally got that tattoo I know you’ve always dream of some baby 🤣🤣🤣,0,
"If i knew you would be in it i would burn my eyes before watching it ,gonna begin research everytime i wanna watch something to keep your freak ass lying big horse feet away from this eyes, ewwww ,",3,
YESSS! I SCREAMED when you appeared! 🤎,0,
