Reply,Code,Post
oooouuu megannnnnn😅,0,
Since I don't get to see you on Broadway... this will do😭😭😭,0,
how about you make me watch it ?🫦.,0,
Nah we watching season 2 of BEEF,0,
Didn’t know it was official out but ima check it out this weekend. 🤎,0,
Don't get any ideas with these fake tattoos. Do not mess your body up.,3,
Omg I’m on my way😭,0,
Chopped asf 😭😭 go to da stables ma,3,
"""Not you serving full stud in jail glam🔥🔥""",0,
"Not yet babe! But will give it a watch if you got a role or recommending it💖😉 look kinda cute to💗😏💌✨Xx
",0,
Yes immediately when I found out you're in it,0,
Have you watched your weight yet?,3,
no you looked a fucking mess in the trailer,3,
"Whoever told you neck tatoo was cute lied to you

Take it out",3,
"What's with the 'I think im pregnant pose""? Klay bussin in it. Hmmmmm? 🤔🧐
",2,
girl when you get a neck tattoo,0,
UR SO STUNNINGGGG LET ME WATCH RN QUEEN,0,
Love how you fine either way 😍,0,
"i wasn’t familiar with your game, text me please",0,
i’m barking btw,0,
#NEEDDAT,0,
and did!!!! we love Louise,0,
Me when I put on a oversized shirt #studette,99,
Top me ☺️,0,
So when will you get lesbian roles 🧍🏾‍♀️🧍🏾‍♀️,0,
Can I be your cell mate? ❤️,0,
Megan when are you coming back with new music 🎵🎶🎵,0,
She is the real bad b!tch 😮‍💨😮‍💨😮‍💨🔥🔥🔥🤤,0,
I just finished !!! 🫶🏾,0,
Megan you got me feeling hot 🫦,0,
Ofc 🙂‍↕️,0,
Ain’t nobody got time for Bigfoot rn my bitch just got jumped,0,
"Noo, not yet
I’ll watch it this weekend",0,
Hii,0,
Does e available on YouTube,0,
"MEGANNN😩😩😩 that man is a fucking loser and you are an amazing baddie you didn't deserve this
",0,
Not yet but wtf 😍😍🫠,0,
"You so find😍 I won’t you❤️
",99,
fuckkkk fuck fuck fuck,99,
"WE LOVE YOU QUEEN, WE’RE HERE FOR YOU ALWAYS!!!",0,
In Studgan I trust,0,
Wait,99,
"Girl not now, Ice spice getting beat on",0,
"Have y'all watched it yet? Yeah... that's why the views still low. Louise carried the 5 minutes she was in it, the rest was mid  Next time give her the whole movie, not a cameo appetizer.",0,
"You the real MVP of that show, no notes.",0,
"I am waiting to watch it together with you 😒",0,
LEGEND!,0,
your fall off needs to be studied,1,
"The best female rapper to ever exist!",0,
We love you Meg!!!!!,0,
Very interesting movie to watch🥰,0,
Cmon studddd 😭,99,
no bc I don’t support your projects,1,
Yes 👏🏻 it was ……….,0,
Let me marry you. Xoxo,0,
she’s hot!,0,
Megan you have great comedic timing👑👑👑👑,0,
You wanna be hood so bad,1,
you need me soooo bad meg omg,0,
girl where’s act iii?,0,
I want you now,0,
Studgan 🤣😍😍,0,
Stud meg lmao,0,
a face,99,
🫶🏾,0,
Listen??? You're amazing!!!,0,
"Does ""yall"" include cowboys that like westerns?",99,
YES WE HAVE BABY,0,
Wha? 🤤 Mmmmm,0,
"it’s so fun being a fan of you, our broadway princess",0,https://x.com/theestallion/status/2038297584096186868
😍😍,0,
I LOVE YOU!!!!,0,
OH MEGANNN,0,
hi my pretty girl,0,
cutieeeeee,0,
Beauty,0,
Gagged the city 👑🍎 😍🔥,0,
The B.A.D.D.E.S.T 😍,0,
BEEN WAITING FOR THESE PHOTOS,0,
queenie 😍,0,
"You killed it on Broadway Queen! 🔥  
Zidler never looked this hot. Keep shining! ✨",0,
I need her to start selling videos for confidence because I admire hers so much. She is so stunning.,0,
MOMMY,0,
"MEGANNNNNN GET UPP🙁😢😢😢😢😢
",99,
The lips 👄 y'all 🥵,0,
"Thank youuuuu 😍😍😍",0,
"See you in 48 days Meg!!!! #MeganOnBroadway🎩",0,
looks are served everytime omfg,0,
"Omg she looks so good!! that third picture 😝😝",0,
Mbbyyy how are you 😭??,0,
❤️,0,
😍😍😍,0,
MOTHER ARE U OKAY??,0,
U look fab girlie,0,
I can't wait to see you on May 15th!!,0,
Megan we love you!!!! Hope you get to feeling better. Shake back baby!!!!🥺🩷,0,
😻😻😻😻😻😻,0,
we hope you’re ok 🙏🏾,0,
"I’m so loving Broadway Meg",0,
Hotties did Megan stage door for the matinee or only her evening shows?!,0,
So beautiful,0,
Say free Tory no matter how much hurt and don’t act like you never had his stick in,"2, 3",
Hi,0,
Where is your hot klap ?,0,
This outfit is so tea,0,
Queen ❄️🩵,0,
Slightly jealous of that fan in the bottom left corner of your last picture because I’d be smiling hard as hell toooooooo 🥹🌹,0,
Beautiful,0,
Bigfoot you look a mess.,3,
"Ouchhhhh
The outfit, looks, every damn slide 🔥",0,
My beautiful queen,0,
LOVE YOU BEAUTIFUL QUEEN,0,
"The red lip is nastyyyyy 😍😍😍🫩",0,
nyc loves u so much 🥹,0,
"@grok
 why is she dressed like that",3,
"How many layers of make-up 😭
",3,
🔥🔥🔥🔥🔥,0,
Insane  REAL MFKIN HOT GIRL SHT,0,
Lookin trans,"2, 3",
She is the only one who wears fur with  this type of attire with her hair one sided .she be on her own shit... that's exactly why I'm  a fan,0,
Obsessed with the blood red lip🩸,0,
Princess of the world,0,
THAT GIRL!! 🤏🏾🤏🏾Already loving this Broadway star era!,0,
😍😍😍😍,0,
Elite Closet 😭❤️,0,
Cute fit,0,
NYC been gagging,0,
THE JOTARO HAT AND THE TRISH SHIRT YES GOD MEG YOU ARE A JOJO REFERENCE,0,
you really are a star! ⭐️ i’m so proud of you sista 🥹💖,0,
"This is SOOOOO cunty!!! You are STUNNING!!🫶🏼💕
",0,
You look gorgeous Meg,0,
"Movie star status iktr",0,
Thee hottest female rapper,0,
"megan york CITYYYYYYYY MY BEAUTIFUL BOOKIE IM SO PROUD OF YOUUUU CANT WAIT TO SEE YOU SOON",0,
@HussleandLo,0,
YESSS MAMASSS,0,
"Hello 
Message me directly and say bless me",0,
"I LOVE YOU MEGGGGGGG",0,
😻😻,0,
🥰,0,
🖤👉🍆,2,
H Town hottie 🔥,0,
Big mamaaa,0,
Beauty,0,
Real Hot Girl Shit ❤️❤️,0,
Mid whore,"2, 3",
omg yes ma’am,0,
🥰,0,
Queen of rap,0,
What's this for?,0,
Respect the journey.,0,
loving  the argyle top you pull off so many different styles,0,
OMG,0,
Damn those make ups could take hours,0,
My love,0,
🔥🔥,0,
TOO FLYYYY🤩🤩🖤,0,
🥰,0,
Wow,0,
Motherr,0,
Pretty TINA,0,
Uh oh here comes Tina Snow,99,
"👑👑",0,
Nice 😊,0,
Stunning and looking gorgeous,0,
Absolute beauty hotter than sun heat,0,
"Meggggg

Why she looking so tall???",0,
Tina,0,
Two pretty best friends,0,
Looking so beautiful ❤️,0,https://x.com/Valkyrae/status/2047387736387297676
Which ex? The dog zapper?,0,
And why you had the need to tell the world your ex DMs you? His dm was probably the most normal average dm,1,
"A text from one that put you into therapy, and one that got you out.",0,
The world is feeding you great podcast topics 🤭,0,
therapist needed their job back and found the perfect partner in crime,0,
Therapist finally accepted the cheque. They are plotting on you,0,
"Is it just me that is bored about her & the ex stories. The amount of time she tells the world about her ""ex"" is just crazy. Seems like ur the one who hasn't moved on

You bring ur pvt life on the net for everyone to comment & when ppl gossip, omg it's so tuff being a streamer",1,
Surely that means you’ll stream CS today to Mae it a good day right?!,0,
"My math is wrong but 

1 in 1,918,440,00",99,
"Probably a coincidence but imagine if they're working together. Your therapist remembered you're loaded and have an ex that could do enough damage to get you back in their office.",0,
Maybe they just want to re-end on good terms Rae.,0,
dunno but im sure if its connected they know your on to them now,0,
Sounds like you need to change your number lol,0,
They must have seen that your playing tft.. and see it as cry for help... LOL,0,
isn’t dating hassan piker a worse omen?,1,
"new dlc coming up, i guess",0,
They saw your master baker and were like hmmmm was like I miss this.. therapist was like oo trauma paycheck ovs,0,
the therapist clearly sensed ur ex reached out and said Oh Hell Not Again,0,
Are they straight and opposite sex of each other? They could be VERY familiar with each other.,0,
Having therapist reach out to you is weird unless it has to do with records or some other professional means,0,
"Dousing rods connected, don't dig under that 😂",0,
And a Therapist?! xD WTF Never have I ever heard that.,0,
god is testing you to see if you learned a lesson from the last 5 years or if you're still the same person,0,
They saw the pic of you serving cake at Master Baker,0,
"My whole 2026 has been one big bad omen, I feel ya on this. =*(",0,
"Your therapist felt a disturbance in the force",0,
It’s okay Valkyrie I’m sure Kratos and Atreus aren’t trying to fight you again,0,
Maybe the ex is talking to the shrink now is why lol 😆,0,
This girl loves telling the world any sort of drama that comes her way.,3b,
"An ex and a therapist?! What a combo, id imagine its master baker related? Lol",0,
🤣 I think your therapist is a Jedi... they felt a disturbance in the force... 😅,0,
Create a group chat. Introduce them both to each other. Leave the group chat. Problem solved,,
imagine hitting up your ex and she makes a public tweet about you 😂😂😂,1,
He was going to the therapist and mentioned you and then they plotted to ruin your day together,0,
It seems that your old therapist has a very good sixth sense,0,
That's happened to me 🤣  I ignored the ex and spoke to the therapist about it like what!! WHY NOW?!,0,
"5 years of peace destroyed in 60 minutes. Your Guardian Angel and your Sleep Paralysis Demon clearly just started a podcast together and you are the first topic.",0,
is the mercury in the gatorade bc what is that timing,0,
oh i hate that..saw someone else comment this but put them in contact with each other😂,0,
That Therapist has amazing intuition 😂,0,
Leave them both on read.,0,
":: In either case, let's hope you learned something since the last time 😅",0,
I could understand the ex's timing but the therapist is just wild,0,
i checked my calendar and today is 'text rae day' the rest of them are probably coming later no need to feel weird all normal,0,
"Did you all talk about the weather
",0,
Ex definitely texting you to leave him the f alone,3d,
Is this the jungle hair ex? 😂,0,
It's like two paths of temptation presenting themselves,0,
"Those are going on a vacation and leaving the internet words. 
Vlog the vacation away from stream. Spend time and go be an Aunty. Dont test the omen.",0,
Lol life is full of synchronicities. Its all about how we take them in,0,
Wait but.... who messaged first? 😂,0,
"What a crazy coincidence!! Also, weird that a therapist you haven't spoken to in 5 years messaged you. That's more strange than the ex tbh. Good luck Rae!! Will be a good topic for the next Wine About It episode tho",0,
Still… ex + therapist in the same hour is kind of a plot twist 😂,0,
All i will say is an ex is an ex for a reason look forward not back,0,
They wanted to congratulate you on the mario party win,0,
"This could be a good topic to discuss on your podcast Rae lol 🤭",0,
They are obviously working together and you should not touch that with a 10 foot pole,0,
this kind of thing happens to me a lot I feel and it's always people who had no way of interacting with each other,0,
Nah you should definitely block those. Why would those people be messaging you out of nowhere? You’re probably better off ignoring that,0,
"Is it the ex that said you have great jungle hair 😵‍💫",0,
One contradicts the other since I’m sure the therapist heard about the ex. Don’t fall for the trap and listen to either of them. “New phone who this”vibes,0,
They seen the Master Baker clips lmao.,0,
"LoL 
@Valkyrae
, how come you got messages from your ex and therapist, just soo happend to both messaged you today, that's such a coincidence 😶🫥😹
All jokes aside, i hope that you are carefull with whom you will respond (and i ain't talking about therapist) ☀️🌼🌻
#Valkyrae",0,
"The therapist felt a disturbance in the force when your ex messaged you. 😅🤣",0,
"Damn, ur ex is seeing ur therapist and they brought you up in session.",0,
Hes been working with your therapist 😂,0,
Could be a good omen 👀✨,0,
"Nah, you'll gain a good story from this in a year or two",0,
An ex probably wants money or hanging of your fame....but a therapist....most suspicious,0,
"Them mfs def have motives...  I know it, I just cant prove it",0,
i had it happen last year. two friends i hadn’t talked to in years messaged the same week. one showed why they were meant to be gone. the other is still my friend now.,0,
Reply only to your therapist please 🤣❤️🫶🏻,0,
I had something like that happen to me yesterday am I cursed too? 😂,0,
they're in cahoots,0,
"It's just a reminder of the past, good or bad, but a way to remember how much better off you are.",0,
"They both saw the clip with your cheeks out.  One wanted to get back in, the other is making sure you're not traumatized xD",2b,
now I wanna know what possible reason a therapist would have to message you after 5 years. 😭,0,
Recommend the therapist to the ex so they can talk to each other and leave you alone lol,0,
"That’s not a bad omen, that’s the universe giving you the poison and the antidote at the same time...",0,
Depends on which one you answer first.,0,
Or a good omen if you look at it in the way that you didnt need them for the past 5 years alreadt,0,
didn't you close up with your exes? why would you still let them text you?,0,
"Universe really said let’s run it back but make it awkward😭 
ex and therapist in the same hour is crazy",0,
Look im sorry i texted you. You didnt need to post it all over social media Rea... its not that serious. Next time I'll double check with your boyfriends boyfriend first. Jesus..,"3a, 3b",
Dont reply. Think they spoke about you before they decide to pop a message across,0,
"Uh-oh, GoogleDoc incoming, all about valyrae cheating on Hasan with her ex - encouraged by the therapist  💩💀😂",0,
"Universe sent the fire and the fire extinguisher in the same hour, what you do next is entirely up to you.",0,
"what are the chances of your ex took your old therapist?",0,
"Do you really think anyone gives a shit? You are getting old, your posts come across as Facebook mom posts now.","3g, 3b, 3c",
"timing is everything i guess. had similar stuff happen before where it feels like the universe is trying to tell me something

my ex reached out after 2 years and it was just a huge mess

anyway, been thinking about how these kinds of coincidences can be pretty thought-provoking - my DMs are always open if u'd like to chat about the weirdness of life sometime

but no pressure, just found it interesting that you brought this up now",0,
"Your cheeks were out the other day, you already know what their intentions are","3g, 2b",
"Ex and therapist same hour after 5 years? The universe is cooking up a plot twist  Run or record the episode?",0,
Was about to say oh wow 5 years but then i realized u pushing 40,"3g, 3b, 3c",
Maybe that was realized what he lost… and wants to make amends. Or maybe you know your like 43 valk it could be time to settle down and do a family,3b,
"One to reopen things, one to help you process it… interesting timing💀",0,
some shit abt to go down,0,
"That's the universe's way of saying ""time to close those tabs for good.""  Hope it leads to some good laughs (and solid podcast material) rather than drama!",0,
"No, don't feel so, look deep into the supernatural and you will understand something great",0,
Crazy lol,0,
Your ex and a therapist in the same hour? Universe said handle your business immediately.,0,
"Universe said: ‘Here’s your past trauma… and the solution in the same hour’ 😂
Therapist first, ex on do not disturb. Protect your peace queen!",0,
"The nice part is if any guy tells you to go back into the kitchen, you have proof why that's a bad idea!",0,https://x.com/Valkyrae/status/2044929045394289112
"That’s not quirky or cute, it’s just sad privileged incompetence. Stop turning basic fails into content for clout and get some actual life skills, girl 😇","3a, 3b",
u had salt and a dream 😭😭😭,0,
there was a little bit of ice cream in the salt,0,
the whole stream i was screaming at you to put the salt down,0,
The fact you put that much salt is crazy lmao,0,
Also u forgot to end stream it was on for like 10minutes😭,0,
"Maaaaaybe taste as you go from now on lol",0,
"Chat, is this what a true girlfailure is?🤔","3a, 3b",
The way Rage was copying u the whole time but had no idea what u were doing😂,0,
Omg what is up with all the comments. I've never really checked rae's comments just liked and scrolled kinda deal. I know lots of drama rn but some of y'all are weird and demanding af. Go outside and leave the phone at home.,0,
It’s only day 1 keep trying 👍🏻🫣😂,0,
Nobody said the main character had to be the good guy. Sometimes there is a twist and the main character is a bad ass villian and all around them fall as they walk away unscathed.,99,
Lol. Really appreciate you trying something out of your realm and comfort zone 👏👏👏 not a easy thing to do,0,
"Nothing lessons can't fix or a personal chef🙂 ⚡️✌🏼",0,
"@qtcinderella
 new content idea: teach rae how to cook/bake.",0,
I just loved the way you refused to taste anything lmao,0,
it’s the only way to nerf you queen otherwise you’d be too powerful,0,
At least you learned that salt doesn't go IN ice cream...,0,
"Seems your honest opinions and humor hurts ppl too.

Don't let them change you.",0,
"Hey you tried lol. If it makes you feel better it seems like the judges were hurt by everyones cookies.",0,
Pushing 40 but crashing out on X lmao,"3a, 3b, 3c",
you should be banned from twitch/youtube,1,
34 year old woman who cant cook or bake 🥀,"3a, 3b",
"But it was comedy and it's like revenge against the pod prank with Slime lol. So funny!",0,
I got my certificate as a chef lemme cook something for you! 💯,0,
I'm sure they're fiiiiineeeeee!,0,
"King of the Pirates Ocean Sea Ice Cream. Contains One Piece of sugar and a cup of salt. It was just thematic, judges didnt get it.",0,
Caroline had to pull out the government name with how bad it was lol,0,
I’d cook for you you don’t need to be in the kitchen that’s my area I love cooking it’s my favorite thing to do!!!!! Whatever you want for dinner breakfast or lunch I gotchu….😉,0,
HAD ME LAUGHING THE WHOLE TIME THEY TASTED THE ICECREAM 😂,0,
didnt help that you didnt taste as you go. gg go next though. you got this,0,
You already know that Anways good day streamer,0,
the whole chat was praying you’d taste the icecream and redo it 😭😭🫶🏻 taste things as you go!!!!! excited for the rest of the competition LOL,0,
"It's fine Rae, their palates weren't refined enough to taste your genius 💖",0,
"You know, a chef once told me, “Some people are cooks and some people are arsonists.”  Lol.",0,
Learning experience Rae! Tomorrow will be way better,0,
"hahaha I knew you were getting confused with the old fashioned way of making ice cream using salt to keep it cooler lmao. Just remember the phrase ""a pinch of salt"" from now on",0,
Just the first step in learning how to cook! Don't give up! Everyone makes the too much salt mistake at least once(you're lucky if you only do it once),0,
"you're an innovator queen, sea salt ice cream sounds like a great idea",0,
You did great for not having a recipe and not baking on a regular basis except the extra salt in the ice cream lol! You’ll do better tomorrow!,0,
LMAOOO the whole time I was saying in my head. “Rae please taste the ice cream. Rae please taste the ice cream” 😂,0,
Just remember to taste as you go and you would have solved ur problems,0,
Is there a way to rewatch? 😩,0,
lmfao but honestly if you didnt use the salt tho you would get at least 3rd,0,
"Come back to the Philippines, Rae! I'll cook for you instead :)",0,
What did you to make them so mad?,0,
I had to go back and watch the Vod to see when you added the salt. I was flabbergasted but honestly it was worth seeing Qt react the way she did. Other than that you did pretty good.,0,
Youre pushing what age now? Act like it,"3b, 3g",
"If it was Adobo, you might have done well…",0,
You also proved you will never have children lol,3b,
And you think you’re going to get married when you can’t cook,3b,
"you should spend more time in the kitchen, along with several instructors/ chefs. practicing how to cook is never a bad thing",0,
So happy you can afford a chef or endless DoorDash 1 cup of salt is diabolical,0,
It was day one and you can only get better and learn. Nobody is magically good at first.,0,
"The salt and sugar does look similar",0,
You tried your best and that's all that matters 🧡,0,
"i'm watching the vod, it seems like you had so much fun lmaooo",0,
"You had the right ingredients...
And then you had a bucket of salt 😅

But hey, not 0 points, woo!!! 😂",0,
To be fair....ice creaming isn't baking.  You'll get em tomorrow!,0,
"Quite the opposite, you needa log in more hours 💀💀💀",0,
auntie go play candy crush,3b,
oh my i dont want spoilers im going to pretend i didn't see this tweet and believe you did amazing,0,
as long as we keep you away from the salt i am sure its at least eddible,0,
Yea. That was crazyyyyy. DO IT AGAIN! 🤣,0,
This is an extremely problematic tweet rae,0,
"There's an exception to every rule, thats why i'm a chef.",0,
Food is a great way to connect but yeah you are a minted tastebuds terrorist.,0,
Learn how to cook Adobo first before going to kitchen. 😂😂😂😂😂,0,
Hasan must be asking you to cook 😅,0,
I think a factor for masterbaker is someone who shouldn’t be in the kitchen. 😅,0,
But it was entertaining as hell.,0,
At least you looked pretty and had great vibes 🤣,0,
Ummmm well according to the mujahideen that’s like literally the only place you’re allowed to be so 🤷‍♂️,"3b, 3e",
Its funny. And we hope you will learn to love cooking/baking in the future,0,
"Well, pretty much nobody can cook these days anymore, if that makes you feel better, you are not the only one.",0,
Lmfaoooo!! They're just salty,0,
U Tel A Woman 'U Can't Wed Her Cuz She Ain't Well Educated'.. U Tel A Woman 'Wit All Ur Education U Gonn' End Up In D Kitchen'.,99,
Cooking is a skill that i learned and practiced. You should learn just for yourself.,0,
"the tasting reactions was hilarious, good content.  you just didn't taste it at all. next time always keep tasting before and after oven",0,
Physically and Mentally 🤣🤣 they were fighting for Life,0,
"Bruh, the only salt to be used is in the water/ice in the machine to get everything to solidify quicker. lol",0,
Do I wanna know what happened? 😂 Or can someone link the clip,0,
You really said that you were in your villain era 🤣,0,
"You cook for looks, not taste",99,
We didnt need proof..... we all kinda assumed that 😆,0,
That proves you need MORE time in kitchen no ?,0,
You shouldn’t be online,1,
At least you didnt make salt ice cream this time,0,
Even the greatest mysogynist will not reply anymore that you should get back to the kitchen,0,
No you should be streaming and lovinv your life,0,
rae your xp bar is just too low 😹😹,0,
leave her alone ya'll she's just a dystopian gal living her life,0,
Stream marathon till you cook a good meal 😁,0,
Putting a cup of salt into ice cream was badass LMAO,0,
there is nothing wrong with men or women being proficient in the kitchen. the fact you make it seem like this is some point to prove shows how you actually lack anything outisde of that streamer persona mask you put on every day.,1,
I can't believe u added so much salt. I dont think I've ever seen a recipe ask for more than a spoon of salt lmao,0,
What did you do lol,0,
Not your fault. Keep at it.,0,
Do you like hurting people? Is that your jam? Does it put an evil 😈 smile on your face? Nice cover photo 😉,99,
"Fksfkfkslfdksnfmdksnx u and me",99,
"Megamind?..
",3,https://x.com/pokimanelol/status/2032552015172350095
Sup trick,0,
Almost 30 lol,3,
:/,0,
"Nice to see you,Granny",3,
You're like 35. Stop acting like a child,3,
hello,0,
What's up femoids,2,
get off the internet,1,
"i dont get all the hate ur getting but must be beccause ur doing something right, got a new follower!",0,
"Corny as always",1,
30 yrs old,3,
I only see Fernando Alonso,0,
You’re 30 pack it up grandma,3,
hiii,0,
Fuck off crow,3,
pedo,1,
Why are u so insufferable,1,
"I can see all the plastic and cement.
",3,
Grown ass woman pushing 30 btw,3,
You're 30,3,
Hey Poki why did you cut off over half of your forehead?,3,
Haiii pokiiii,0,
you got fat bro,3,
Okay when she does this is a lil adorable no cap,0,
Shitonof foundation,3,
Hello my wonderful queen,0,
Grow the fuck up,1,
"Makes me laugh when I see people still calling this ""twitter""",0,
You can’t be serious 🤣🤣🤣🤣,99,
drop poki emote plss 🐦,0,
Pushing 50s btw,3,
Your cringe af,1,
"What is your next scam you millionaire OF girl?
","2, 3",
"Time to beg your followers for more $$$
",3,
Oh look a 29 year old hag who wants to be CUTE,"2, 3",
At what point does this bullshit genuinely get concerning to yall. 32 years old posting like a 10 year old. Who genuinely watches this piece of shit,3,
Hey,0,
"You dedicated your life to twitch in the name of fame and money, and now you approach your 30's and begin to lose your eggs, you shall now live a life of disdain and regret and no amount of coping will save you from your online presence and its inevitable downfall as you grow old","2, 3",
hi,0,
Hello the head of streaming 😁,0,
SHE GOT A HUGE FOREHEAD 😂😂😂😂😂😂😂😂😂😂😂,3,
hello you,0,
Habibti pokimane,0,
unloaded so hard to this ✊💦,2,
Thankyou for cropping out your forehead so this didn’t take up my whole feed.  🤣,3,
"You will always be single
",1,
You are almost 30. WTF are you doing dawg,3,
30yo btw,3,
POKI PLEASE SENDME AN IPAD MINI JSVRIWBFIZBECJX,0,
Oh look its the cookie scammer girl,3,
fuckyou ugly hoe,2,
"Get the hell out my face fugly virtue signaling brainless tard
",3,
SUP MANE 🔥🔥🔥🔥🔥,0,
35 calling your bf your neighbor 😭😭,3,
We would feast on the rich with this one cause she chonky.,3,
Used goods,2,
Yes,0,
hello imane💗,0,
Hello x,0,
Hello to you 😁👋,0,
Pushing 30,3,
Hello miss poki,0,
oh hi i guess,0,
🤢,1,
so cute,0,
hi,0,
hello cutie,0,
Goofy 29 year old.,99,
Who does this get so many views? Who the hell are you lady?,0,
40 year old,3,
"Can you leave bro you too old
",1,
"Ur damn near a fucking grandma start a fucking family my nigga
","2, 3",
"""If your company is bankrupt just say so"" 🤣",1,
Can I we'll  look picture,99,
"@grok
 what’s in her eyes",3,
29,0,
Not danhausen.,99,
Yo poki WSSP GANG,0,
"YOU ARE A THIRTY YEAR OLD WOMEN ACT LIKE IT, this shit just embarrassing and downright pathetic 🤦🤡🤣🤣🤣",1,
Bruh that big ass forehead though 😂,3,
you got more people blocked than the people who really think ur a good content creator ngl,1,
My god you’re ugly 😂,3,
Como esta,0,
Hello poki,0,
Hey cutie 💙,0,
Hello fake af millionaire,1,
Grown ass,3,
"Your not cute, your a mid attention seeking whore, looks like the wall hit you pretty hard.","2, 3",
Fuck of you filthy piece of dog shit,3,
Ugly bitch. You’re as fake as they come,3,
Not sure why im even seeing this. No clue who it is or why.,0,
A 30yo grown ass woman btw,3,
it's called X,3,
"@permachilled
 ce plm😭✋🏻",99,
that's a nice necklace,0,
Hi,0,
Ugly ass bitch,"2, 3",
pushing 30,3,
"people sub and donate to this chick 💀",3,
Trying to appeal to the PDF community?,"2, 3",
Hey mama,0,https://x.com/pokimanelol/status/2043456411896811996
i love the juxtaposition of the flower earring & the edgy necklace lmao,0,
"she looks so old and chopped, literally no ass or chest. You simps gave this talentless dork hype btw","2, 3",
That cookie company money came in clutch huh.,1,
Looks like she ate too many of those overpriced cookies she was scamming her fans to buy,3,
I remember when you didn’t sexualize yourself cause you have value. I guess that went out the door when you got old lol,"2, 3",
Im so gay 😭,0,
the dress !!!!!! 🤍,0,
i love the juxtaposition of the flower earring & the edgy necklace lmao,0,
I'm only here to see the simp losers goon to Phonymane.,3,
"Aww stop, you’re so effortlessly pretty it hurts",0,
"Why tf did y'all make this bint as rich as she is? Absolutely nothing special, mid af. Btw walking around dressed like this at 30??? Pathetic","2, 3",
idk how you do it every time but your makeup is always perfect 🙂‍↕️,0,
You low-key cute asf pokimane 😘,0,
W granny. Keep showing these young girls how the older generation gets down,3,
"i am a victim of seeing this hoe, how do you plan on making things right?",2,
How many times did the wind blowover your glasses?,0,
"In other words, I have nothing to offer so come look at me wearing almost nothing","2, 3",
This ain't even cute.  U look like you're wearing a broken Chandelier out of the garbage dump,3,
Gorgeous,0,
😍🔥,0,
Ignore what all of these haters are saying.  You look amazing for a woman gracefully aging into her mid 40s,3,
"We hope for pictures of helping the poor or doing some sort of charity work for multi millionaire influencers…

What do we get? Coachella pictures..

These people spend thousands each year to party, we need new role models",0,
Gorgeous Poki 😍,0,
Damn all that money just to look mid af,3,
Cool outfit Poki! ✨You’re glowing! Hope you had a wonderful Coachella weekend so far! ☀️,0,
Are you at a golf course ⛳️,0,
green fits you a lot!!,0,
the dress looks so good on you 😭♥️,0,
"Who cares??? I'd say go touch that grass, but it's fake just like you are. I thought I unfollowed you months ago. Now I have 🤣🫡",3,
"Gorl, this landscaping is giving depression",0,
weren't you saying you are muslim and all that like last week? lmao,1,
"I love the sky and I love this look 🧡",0,
"still single, we know",1,
the dress looks so good on you ♥️,0,
Who took the photo?,0,
"@grok
 can you remove the objext in the way of the beautiful background",2,
Absolutely stunning as always 🔥.,0,
"""Dont objectify me"" and this posts shit like this. Youre the full definition of a fuckin retard.","2, 3",
Cute. Too bad you're oh so picky.,3,
Is it like a vegas cosplay? I think you look cute in a cowboy hat (not sexually. I don't see you that way.) Like I could see myself buying you takoyaki at the cherry blossom festival in San Francisco.,0,
do you have any talent whatsoever? or is your only value goon baiting young boys? do you sleep well at night?,3,
People think pokimane is hot btw lmao,3,
"quiet day, presence loud",0,
am I late or did she go to Coachella?,0,
"This is a grown ass 30 year old btw",3,
the FaZe CS team is disbanding can you tell Kaysan to fix this situation.,0,
CUTIE,0,
Who is she ? You??,0,
"@grok
 let her wear clothes",3,
I need serous relationship 🌹,0,
Hey Poki!,0,
You look good,0,
Gorgeous,0,
chopped and muslim ewww,3,
🤢🤢🤢🤢🤮,1,
I wanna get ur Fortnite emote but it’s not in the shop,0,
Beautiful sky,0,
Very cool dress,0,
sykkuno son,99,
k,0,
"pushing 40 still no family",3,
Nice,0,
So...??,0,
Nice Pic 👁️C🫵,0,
5,3,
Snaky ass hoe,"2, 3",
Looking good 😌,0,
You look amazing 🤩,0,
🔥👸🏻✨🤎🔥,0,
"You're as beautiful as an oil painting, it's simply unreasonable!😍",0,
Where's the BF?,0,
It's crazy because the background feels like it's a painting.,0,
Start a family,3,
Oh 👀,0,
My fav racist queen,1,
My friend cheated. So here's my ass.,0,
Hi,0,
Good looking,0,
Goonbaiting queen,"2, 3",
MID 4.5/10,"2, 3",
Beautiful look at  smile,0,
How old is she?,0,
clock's ticking,3,
You are stunning,0,
in her 30s btw,3,
Good tech,0,
“disappointed but not surprised” girl ur racist af shut the hell up,1,
Shut up cockroach.,3,
Slut pushing 40,"2, 3",
5/10 in LA,"2, 3",
that's nice :),0,
why show up with that trash ass outfit,1,
"the juxtaposition the juxtaposition",99,
Pokie,0,
this gave me explosive diarrhea,0,
bg looks like a set,0,
You look like a whore,2,
You look so good,0,
hey dear,0,
its nice to go outside,0,